customer_id,customer_name,city,total_orders,total_revenue,avg_order_value,top_category
1,Ahmad Al-Masri,Amman,9,1003.5,111.5,Electronics
2,Fatima Al-Husseini,Irbid,8,827.0,103.375,Sports
3,Omar Khalifeh,Zarqa,6,751.5,125.25,Electronics
4,Layla Abdallah,Amman,6,730.0,121.66666666666667,Books
6,Rania Al-Khatib,Aqaba,6,666.5,111.08333333333333,Books
7,Yousef Haddad,Salt,6,721.5,120.25,Electronics
8,Noor Al-Jabari,Madaba,6,801.0,133.5,Books
9,Tariq Obeidat,Amman,7,806.5,115.21428571428571,Home & Garden
10,Hana Suleiman,Irbid,6,750.0,125.0,Books
11,Sami Al-Rawashdeh,Zarqa,6,523.0,87.16666666666667,Clothing
13,Mazen Tawalbeh,Amman,3,499.0,166.33333333333334,Clothing
14,Rana Abu-Ghazaleh,Aqaba,3,371.0,123.66666666666667,Electronics
15,Fadi Al-Zoubi,Amman,2,228.0,114.0,Food & Beverage
16,Mona Batayneh,Irbid,5,526.5,105.3,Clothing
17,Waleed Shraideh,Salt,5,403.0,80.6,Clothing
19,Ibrahim Jaradat,Madaba,6,803.0,133.83333333333334,Electronics
20,Samar Ababneh,Amman,7,1100.0,157.14285714285714,Electronics
21,Hassan Smadi,Zarqa,4,530.5,132.625,Electronics
22,Yasmin Al-Sharif,Amman,7,974.5,139.21428571428572,Clothing
23,Basil Malkawi,Irbid,7,685.5,97.92857142857143,Electronics
25,Nidal Fraihat,Aqaba,6,544.0,90.66666666666667,Books
26,Asma Qudah,Amman,5,751.0,150.2,Electronics
27,Zaid Al-Momani,Salt,7,932.0,133.14285714285714,Books
28,Jumana Tarawneh,Madaba,6,719.5,119.91666666666667,Home & Garden
29,Rashid Al-Ajlouni,Amman,6,569.0,94.83333333333333,Books
30,Nisreen Bakri,Zarqa,6,511.0,85.16666666666667,Electronics
32,Ghada Nsour,Irbid,6,910.0,151.66666666666666,Electronics
33,Mahmoud Al-Azza,Amman,8,908.0,113.5,Home & Garden
34,Suha Masarweh,Aqaba,7,569.5,81.35714285714286,Clothing
35,Raed Habashneh,Salt,5,436.0,87.2,Books
36,Abeer Al-Tamimi,Amman,4,423.0,105.75,Clothing
38,Sawsan Majali,Madaba,4,579.5,144.875,Books
39,Tamer Zu'bi,Amman,8,873.0,109.125,Electronics
40,Huda Al-Karaki,Irbid,6,676.0,112.66666666666667,Books
41,Osama Louzi,Zarqa,7,642.5,91.78571428571429,Books
42,Rula Shobaki,Amman,7,715.0,102.14285714285714,Clothing
44,Maysoon Al-Qadi,Aqaba,7,603.0,86.14285714285714,Clothing
45,Wael Bani-Hani,Salt,7,750.5,107.21428571428571,Clothing
46,Shireen Khasawneh,Amman,6,671.0,111.83333333333333,Clothing
47,Adnan Rousan,Irbid,6,514.0,85.66666666666667,Electronics
48,Lubna Al-Hawari,Madaba,6,630.5,105.08333333333333,Home & Garden
50,Eman Shdeifat,Amman,7,789.5,112.78571428571429,Books
51,Suhail Qtaishat,Zarqa,7,609.0,87.0,Home & Garden
52,Dalal Abu-Rumman,Amman,4,629.0,157.25,Electronics
53,Hazem Maayta,Irbid,6,713.0,118.83333333333333,Books
54,Najwa Al-Bdour,Aqaba,6,713.0,118.83333333333333,Clothing
